team,position,player
Hawks,SG,K. Huerter
Hawks,SF,D. Hunter
Hawks,PF,J. Collins
Hawks,PG,T. Young
Hawks,C,A. Len
Celtics,SF,G. Hayward
Celtics,PF,J. Tatum
Celtics,C,E. Kanter
Celtics,PG,K. Walker
Celtics,SG,J. Brown
Nets,PG,K. Irving
Nets,SF,T. Prince
Nets,PF,R. Kurucs
Nets,C,D. Jordan
Nets,SG,C. Levert
Hornets,PG,T. Rozier
Hornets,SG,N. Batum
Hornets,SF,D. Bacon
Hornets,PF,M. Bridges
Hornets,C,C. Zeller
Bulls,PG,T. Satoransky
Bulls,SG,Z. LaVine
Bulls,PF,L. Markkanen
Bulls,SF,O. Porter
Bulls,C,W. Carter Jr.
Cavaliers,PG,C. Sexton
Cavaliers,SG,B. Knight
Cavaliers,SF,C. Osman
Cavaliers,PF,K. Love
Cavaliers,C,T. Thompson
Mavericks,PG,D. Wright
Mavericks,SG,L. Doncic
Mavericks,SF,J. Jackson
Mavericks,PF,K. Porzingis
Mavericks,C,D. Powell
Nuggets,PG,J. Murray
Nuggets,SG,G. Harris
Nuggets,SF,W. Barton
Nuggets,PF,P. Millsap
Nuggets,C,N. Jokic
Pistons,SG,B. Brown
Pistons,SF,T. Snell
Pistons,PF,B. Griffin
Pistons,C,A. Drummond
Pistons,PG,R. Jackson
Warriors,PF,D. Green
Warriors,PG,S. Curry
Warriors,SG,D. Russell
Warriors,SF,G. Robinson III
Warriors,C,W. Cauley-Stein
Rockets,PF,P. Tucker
Rockets,C,C. Capela
Rockets,PG,R. Westbrook
Rockets,SG,J. Harden
Rockets,SF,E. Gordon
Pacers,PG,M. Brogdon
Pacers,SG,V. Oladipo
Pacers,SF,T. Warren
Pacers,PF,D. Sabonis
Pacers,C,M. Turner
Clippers,PG,P. Beverley
Clippers,SG,L. Shamet
Clippers,SF,K. Leonard
Clippers,PF,P. George
Clippers,C,I. Zubac
Lakers,PG,R. Rondo
Lakers,SG,D. Green
Lakers,SF,L. James
Lakers,PF,A. Davis
Lakers,C,D. Howard
Grizzlies,PG,J. Morant
Grizzlies,SF,K. Anderson
Grizzlies,PF,J. Jackson Jr.
Grizzlies,C,J. Valanciunas
Grizzlies,SG,D. Brooks
Heat,PG,G. Dragic
Heat,SG,D. Waiters
Heat,SF,J. Butler
Heat,PF,J. Johnson
Heat,C,B. Adebayo
Bucks,PG,E. Bledsoe
Bucks,SG,W. Matthews
Bucks,SF,K. Middleton
Bucks,PF,G. Antetokounmpo
Bucks,C,B. Lopez
Timberwolves,PG,J. Teague
Timberwolves,SG,J. Culver
Timberwolves,SF,A. Wiggins
Timberwolves,PF,R. Covington
Timberwolves,C,K. Towns
Pelicans,PG,L. Ball
Pelicans,SG,J. Holiday
Pelicans,SF,B. Ingram
Pelicans,PF,Z. Williamson
Pelicans,C,D. Favors
Knicks,PG,D. Smith Jr.
Knicks,SG,R. Barrett
Knicks,SF,K. Knox
Knicks,PF,J. Randle
Knicks,C,M. Robinson
Thunder,PG,C. Paul
Thunder,SG,S. Gilgeous-Alexander
Thunder,SF,D. Gallinari
Thunder,PF,M. Muscala
Thunder,C,S. Adams
Magic,PG,D. Augustin
Magic,SG,E. Fournier
Magic,SF,J. Isaac
Magic,PF,A. Gordon
Magic,C,N. Vucevic
76ers,SF,T. Harris
76ers,PF,A. Horford
76ers,C,J. Embiid
76ers,PG,B. Simmons
76ers,SG,J. Richardson
Suns,PG,R. Rubio
Suns,SG,D. Booker
Suns,SF,K. Oubre Jr.
Suns,PF,D. Saric
Suns,C,D. Ayton
Trail Blazers,PF,Z. Collins
Trail Blazers,C,H. Whiteside
Trail Blazers,SG,C. McCollum
Trail Blazers,PG,D. Lillard
Trail Blazers,SF,K. Bazemore
Kings,PF,M. Bagley III
Kings,PG,D. Fox
Kings,C,D. Dedmon
Kings,SG,B. Hield
Kings,SF,H. Barnes
Spurs,PG,D. Murray
Spurs,SG,B. Forbes
Spurs,SF,D. DeRozan
Spurs,PF,R. Gay
Spurs,C,L. Aldridge
Raptors,PG,K. Lowry
Raptors,SG,N. Powell
Raptors,SF,O. Anunoby
Raptors,PF,P. Siakam
Raptors,C,M. Gasol
Jazz,PG,M. Conley
Jazz,SG,D. Mitchell
Jazz,SF,J. Ingles
Jazz,PF,B. Bogdanovic
Jazz,C,R. Gobert
Wizards,SF,T. Brown Jr.
Wizards,PG,I. Smith
Wizards,SG,B. Beal
Wizards,PF,D. Bertans
Wizards,C,T. Bryant
