,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
0,203500,"Adams, Steven",Steven Adams,1,2013,2019,steven_adams,1610612760,Oklahoma City,Thunder,OKC,thunder,Y,00
1,1628389,"Adebayo, Bam",Bam Adebayo,1,2017,2019,bam_adebayo,1610612748,Miami,Heat,MIA,heat,Y,00
2,1629061,"Adel, Deng",Deng Adel,1,2018,2019,deng_adel,1610612751,Brooklyn,Nets,BKN,nets,Y,01
3,200746,"Aldridge, LaMarcus",LaMarcus Aldridge,1,2006,2019,lamarcus_aldridge,1610612759,San Antonio,Spurs,SAS,spurs,Y,00
4,1629734,"Alexander, Kyle",Kyle Alexander,1,2019,2019,kyle_alexander,1610612748,Miami,Heat,MIA,heat,N,00
5,1629638,"Alexander-Walker, Nickeil",Nickeil Alexander-Walker,1,2019,2019,nickeil_alexander-walker,1610612740,New Orleans,Pelicans,NOP,pelicans,N,00
6,1628960,"Allen, Grayson",Grayson Allen,1,2018,2019,grayson_allen,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y,01
7,1628386,"Allen, Jarrett",Jarrett Allen,1,2017,2019,jarrett_allen,1610612751,Brooklyn,Nets,BKN,nets,Y,00
8,1628443,"Allen, Kadeem",Kadeem Allen,1,2017,2019,kadeem_allen,1610612752,New York,Knicks,NYK,knicks,Y,01
9,202329,"Aminu, Al-Farouq",Al-Farouq Aminu,1,2010,2019,al-farouq_aminu,1610612753,Orlando,Magic,ORL,magic,Y,00
10,203937,"Anderson, Kyle",Kyle Anderson,1,2014,2019,kyle_anderson,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y,01
11,203507,"Antetokounmpo, Giannis",Giannis Antetokounmpo,1,2013,2019,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,Y,00
12,1628961,"Antetokounmpo, Kostas",Kostas Antetokounmpo,1,2018,2019,kostas_antetokounmpo,1610612747,Los Angeles,Lakers,LAL,lakers,Y,01
13,203648,"Antetokounmpo, Thanasis",Thanasis Antetokounmpo,1,2015,2019,thanasis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,Y,01
14,1628384,"Anunoby, OG",OG Anunoby,1,2017,2019,og_anunoby,1610612761,Toronto,Raptors,TOR,raptors,Y,00
15,1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,1,2017,2019,ryan_arcidiacono,1610612741,Chicago,Bulls,CHI,bulls,Y,01
16,2772,"Ariza, Trevor",Trevor Ariza,1,2004,2019,trevor_ariza,1610612758,Sacramento,Kings,SAC,kings,Y,00
17,201571,"Augustin, D.J.",D.J. Augustin,1,2008,2019,d.j._augustin,1610612753,Orlando,Magic,ORL,magic,Y,00
18,1629028,"Ayton, Deandre",Deandre Ayton,1,2018,2019,deandre_ayton,1610612756,Phoenix,Suns,PHX,suns,Y,00
19,1628407,"Bacon, Dwayne",Dwayne Bacon,1,2017,2019,dwayne_bacon,1610612766,Charlotte,Hornets,CHA,hornets,Y,01
20,1628963,"Bagley III, Marvin",Marvin Bagley III,1,2018,2019,marvin_bagley_iii,1610612758,Sacramento,Kings,SAC,kings,Y,00
21,1628366,"Ball, Lonzo",Lonzo Ball,1,2017,2019,lonzo_ball,1610612740,New Orleans,Pelicans,NOP,pelicans,Y,00
22,1628964,"Bamba, Mo",Mo Bamba,1,2018,2019,mohamed_bamba,1610612753,Orlando,Magic,ORL,magic,Y,00
23,200826,"Barea, J.J.",J.J. Barea,1,2006,2019,j.j._barea,1610612742,Dallas,Mavericks,DAL,mavericks,Y,01
24,203084,"Barnes, Harrison",Harrison Barnes,1,2012,2019,harrison_barnes,1610612758,Sacramento,Kings,SAC,kings,Y,00
25,1629628,"Barrett, RJ",RJ Barrett,1,2019,2019,rj_barrett,1610612752,New York,Knicks,NYK,knicks,N,00
26,203115,"Barton, Will",Will Barton,1,2012,2019,will_barton,1610612743,Denver,Nuggets,DEN,nuggets,Y,01
27,1628966,"Bates-Diop, Keita",Keita Bates-Diop,1,2018,2019,keita_bates-diop,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y,01
28,201587,"Batum, Nicolas",Nicolas Batum,1,2008,2019,nicolas_batum,1610612766,Charlotte,Hornets,CHA,hornets,Y,00
29,203382,"Baynes, Aron",Aron Baynes,1,2012,2019,aron_baynes,1610612756,Phoenix,Suns,PHX,suns,Y,01
30,203145,"Bazemore, Kent",Kent Bazemore,1,2012,2019,kent_bazemore,1610612757,Portland,Trail Blazers,POR,blazers,Y,01
31,1629647,"Bazley, Darius",Darius Bazley,1,2019,2019,darius_bazley,1610612760,Oklahoma City,Thunder,OKC,thunder,N,00
32,203078,"Beal, Bradley",Bradley Beal,1,2012,2019,bradley_beal,1610612764,Washington,Wizards,WAS,wizards,Y,00
33,1627736,"Beasley, Malik",Malik Beasley,1,2016,2019,malik_beasley,1610612743,Denver,Nuggets,DEN,nuggets,Y,01
34,201158,"Belinelli, Marco",Marco Belinelli,1,2007,2019,marco_belinelli,1610612759,San Antonio,Spurs,SAS,spurs,Y,00
35,1628395,"Bell, Jordan",Jordan Bell,1,2017,2019,jordan_bell,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y,01
36,1627761,"Bembry, DeAndre'",DeAndre' Bembry,1,2016,2019,deandre'_bembry,1610612737,Atlanta,Hawks,ATL,hawks,Y,01
37,1627733,"Bender, Dragan",Dragan Bender,1,2016,2019,dragan_bender,1610612749,Milwaukee,Bucks,MIL,bucks,Y,00
38,203461,"Bennett, Anthony",Anthony Bennett,1,2013,2019,anthony_bennett,1610612745,Houston,Rockets,HOU,rockets,Y,01
39,202722,"Bertans, Davis",Davis Bertans,1,2016,2019,davis_bertans,1610612764,Washington,Wizards,WAS,wizards,Y,01
40,201976,"Beverley, Patrick",Patrick Beverley,1,2012,2019,patrick_beverley,1610612746,LA,Clippers,LAC,clippers,Y,01
41,203920,"Birch, Khem",Khem Birch,1,2017,2019,khem_birch,1610612753,Orlando,Magic,ORL,magic,Y,01
42,1629048,"Bitadze, Goga",Goga Bitadze,1,2019,2019,goga_bitadze,1610612754,Indiana,Pacers,IND,pacers,N,00
43,202687,"Biyombo, Bismack",Bismack Biyombo,1,2011,2019,bismack_biyombo,1610612766,Charlotte,Hornets,CHA,hornets,Y,00
44,202357,"Bjelica, Nemanja",Nemanja Bjelica,1,2015,2019,nemanja_bjelica,1610612758,Sacramento,Kings,SAC,kings,Y,00
45,202339,"Bledsoe, Eric",Eric Bledsoe,1,2010,2019,eric_bledsoe,1610612749,Milwaukee,Bucks,MIL,bucks,Y,01
46,203992,"Bogdanovic, Bogdan",Bogdan Bogdanovic,1,2017,2019,bogdan_bogdanovic,1610612758,Sacramento,Kings,SAC,kings,Y,00
47,202711,"Bogdanovic, Bojan",Bojan Bogdanovic,1,2014,2019,bojan_bogdanovic,1610612762,Utah,Jazz,UTA,jazz,Y,00
